id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;year_archives_links;requests;1567107032.3293452;-0.5075619220733643;https://kurser.ku.dk/archive;https://kurser.ku.dk/archive;25197;200;True;
1;year_archives_links;requests;1567107033.4807825;-0.1661510467529297;https://kurser.ku.dk/archive/2017-2018;https://kurser.ku.dk/archive/2017-2018;28983;200;True;
2;year_archives_links;requests;1567107034.170786;-0.14870333671569824;https://kurser.ku.dk/archive/2016-2017;https://kurser.ku.dk/archive/2016-2017;29663;200;True;
3;year_archives_links;requests;1567107034.8407693;-0.21223092079162598;https://kurser.ku.dk/archive/2015-2016;https://kurser.ku.dk/archive/2015-2016;29068;200;True;
4;year_archives_links;requests;1567107035.5829034;-0.15043234825134277;https://kurser.ku.dk/archive/2014-2015;https://kurser.ku.dk/archive/2014-2015;29044;200;True;
5;year_archives_links;requests;1567107036.2554793;-0.17140531539916992;https://kurser.ku.dk/archive/2013-2014;https://kurser.ku.dk/archive/2013-2014;28913;200;True;
6;course_study_board_years_archives_links;requests;1567107037.0002797;-0.13320279121398926;https://kurser.ku.dk/archive/2017-2018/888;https://kurser.ku.dk/archive/2017-2018/888;25395;200;True;
7;course_study_board_years_archives_links;requests;1567107037.6515958;-0.24130010604858398;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0010;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0010;30288;200;True;
8;course_study_board_years_archives_links;requests;1567107038.4140832;-0.2170248031616211;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0021;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0021;52352;200;True;
9;course_study_board_years_archives_links;requests;1567107039.1675205;-0.1585850715637207;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0044;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0044;44236;200;True;
10;course_study_board_years_archives_links;requests;1567107039.8770623;-0.2581446170806885;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0009;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_0009;42226;200;True;
11;course_study_board_years_archives_links;requests;1567107040.6657028;-0.14498591423034668;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PB_01;https://kurser.ku.dk/archive/2017-2018/STUDYBOARD_PB_01;30066;200;True;
