id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;grades;requests;1566299459.0100262;-0.2817673683166504;http://karakterstatistik.stads.ku.dk/Histogram/SFAK18001E/Winter-2018/B1;http://karakterstatistik.stads.ku.dk/Histogram/SFAK18001E/Winter-2018/B1;12977;200;True;
1;links;requests;1566385097.0612047;-0.2982826232910156;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
2;links;requests;1566385115.6184547;-0.25907444953918457;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
3;links;requests;1566385120.2213705;-0.45476794242858887;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
4;links;requests;1566385136.0473895;-0.21126103401184082;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
5;0;requests;1566385271.9041696;-0.23759675025939941;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
6;XHR;requests;1566385275.9288237;-0.24981284141540527;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
7;X;requests;1566385279.331658;-0.23648881912231445;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
8;Content;requests;1566385284.6796854;-0.23938846588134766;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
9;Content;requests;1566385293.3740513;-0.21842098236083984;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
10;Content;requests;1566385309.4479103;-0.3527092933654785;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
11;Content;requests;1566385317.5306118;-0.21367955207824707;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
12;Content;requests;1566385323.1846356;-0.21718287467956543;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
13;Content;requests;1566385327.6456668;-0.20522713661193848;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
14;Content;requests;1566385342.418624;-0.21013736724853516;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
15;Content;requests;1566385582.7494986;-21.31150794029236;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;;0;;False;('Connection aborted.', ConnectionResetError(10054, 'En eksisterende forbindelse blev tvangsafbrudt af en ekstern vært', None, 10054, None))
16;Content;requests;1566385604.5612588;-0.23357772827148438;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;http://karakterstatistik.stads.ku.dk/#searchText=&term=Winter-2018&block=&institute=2346&faculty=2710&searchingCourses=true&page=1;15423;200;True;
